scheme_id,scheme_name,level,state,department,category,gender,caste_category,min_age,max_age,max_income,occupation,description,benefits,official_link
SCH0016,National Scholarship Portal - Post Matric OBC,Central,All India,Ministry of Social Justice & Empowerment,Education,All,OBC,15,30,150000,Student,Scholarship for OBC students studying post-matriculation courses.,Tuition fee reimbursement + maintenance allowance.,https://scholarships.gov.in
SCH0017,Pradhan Mantri Mudra Yojana,Central,All India,Ministry of Finance,Self-Employment,All,All,18,100,-1,Self-employed,Collateral-free loans to micro/small enterprises.,Loans up to Rs 10 lakh under Shishu/Kishor/Tarun categories.,https://www.mudra.org.in
SCH0018,Stand-Up India Scheme,Central,All India,Ministry of Finance,Self-Employment,All,SC,18,100,-1,Self-employed,Bank loans for SC/ST and women entrepreneurs for greenfield enterprises.,Loans between Rs 10 lakh and Rs 1 crore.,https://www.standupmitra.in
SCH0019,Pradhan Mantri Fasal Bima Yojana,Central,All India,Ministry of Agriculture,Agriculture,All,All,18,100,-1,Farmer,Crop insurance scheme protecting farmers against crop loss.,"Insurance cover against natural calamities, pests and diseases.",https://pmfby.gov.in
SCH0020,MGNREGA,Central,All India,Ministry of Rural Development,Employment,All,All,18,100,-1,Laborer,Guaranteed 100 days of wage employment per year for rural households.,100 days guaranteed wage employment/year.,https://nrega.nic.in
SCH0021,Divyangjan Disability Pension (NSAP),Central,All India,Ministry of Rural Development,Pension,All,All,18,79,100000,Disabled,Monthly pension for persons with severe disabilities.,Rs 300-500/month (state top-ups vary).,https://nsap.nic.in
SCH0022,PM Vishwakarma Yojana,Central,All India,Ministry of MSME,Self-Employment,All,All,18,100,-1,Self-employed,Support for traditional artisans and craftspeople (18 trades).,"Toolkit incentive, collateral-free loans up to Rs 3 lakh, skill training.",https://pmvishwakarma.gov.in
SCH0023,National Means-cum-Merit Scholarship,Central,All India,Ministry of Education,Education,All,All,13,18,150000,Student,Scholarship for meritorious students of economically weaker sections.,"Rs 12,000/year (classes 9-12).",https://scholarships.gov.in
SCH0024,PM CARES for Children,Central,All India,Ministry of Women & Child Development,Welfare,All,All,0,23,-1,All,Support for children who lost parents/guardians to COVID-19.,"Education support, health insurance, monthly stipend at 18.",https://pmcaresforchildren.in
SCH0025,Deendayal Antyodaya Yojana - NULM,Central,All India,Ministry of Housing and Urban Affairs,Self-Employment,All,All,18,100,100000,Unemployed,Urban poverty alleviation through self-employment and skill training.,"Subsidized loans, skill training, shelter for urban homeless.",https://nulm.gov.in
SCH0026,Mukhyamantri Majhi Ladki Bahin Yojana,State,Maharashtra,Women & Child Development,Welfare,Female,All,21,65,100000,Woman-headed household,Monthly financial assistance to eligible women.,"Rs 1,500/month direct benefit transfer.",https://services.india.gov.in
SCH0027,Rajarshi Chhatrapati Shahu Maharaj Scholarship,State,Maharashtra,Higher & Technical Education,Education,All,SC,17,35,800000,Student,Tuition and exam fee waiver for professional courses.,Full tuition & exam fee reimbursement.,https://services.india.gov.in
SCH0028,Mahatma Jyotirao Phule Jan Arogya Yojana,State,Maharashtra,Public Health,Health,All,All,0,100,100000,All,Cashless treatment for below-poverty-line families.,Health cover up to Rs 5 lakh/family/year.,https://services.india.gov.in
SCH0029,Gruha Lakshmi Scheme,State,Karnataka,Women & Child Development,Welfare,Female,All,18,100,300000,Woman-headed household,Monthly cash assistance to women heads of BPL households.,"Rs 2,000/month direct benefit transfer.",https://services.india.gov.in
SCH0030,Anna Bhagya Scheme,State,Karnataka,Food & Civil Supplies,Food Security,All,All,0,100,100000,All,Free rice distribution to BPL/Antyodaya families.,10 kg free rice/person/month.,https://services.india.gov.in
SCH0031,Vidyasiri Scholarship,State,Karnataka,Backward Classes Welfare,Education,All,OBC,17,30,250000,Student,Hostel/scholarship support for backward class students.,Monthly maintenance allowance + hostel facility.,https://services.india.gov.in
SCH0032,Mukhyamantri Mahila Utkarsh Yojana,State,Gujarat,Women & Child Development,Self-Employment,Female,All,18,60,600000,Self-employed,Interest-free loans to women self-help groups.,Interest-free loan up to Rs 1 lakh.,https://services.india.gov.in
SCH0033,Vahli Dikri Yojana,State,Gujarat,Women & Child Development,Girl Child,Female,All,0,18,200000,All,Financial assistance scheme for the girl child's future.,Rs 1.1 lakh paid in installments up to age 18.,https://services.india.gov.in
SCH0034,Mukhyamantri Yuva Swavalamban Yojana,State,Gujarat,Education,Education,All,All,17,30,600000,Student,Tuition fee assistance for higher education.,"Tuition fee assistance up to Rs 50,000/year.",https://services.india.gov.in
SCH0035,Kalaignar Magalir Urimai Thogai,State,Tamil Nadu,Social Welfare,Welfare,Female,All,21,100,250000,Woman-headed household,Monthly income support to women heads of families.,"Rs 1,000/month direct benefit transfer.",https://services.india.gov.in
SCH0036,Moovalur Ramamirtham Ammaiyar Higher Education Scheme,State,Tamil Nadu,Social Welfare,Education,Female,All,17,30,250000,Student,Financial assistance for girl students pursuing higher education.,"Rs 1,000-5,000/month stipend.",https://services.india.gov.in
SCH0037,Pudhumai Penn Scheme,State,Tamil Nadu,School Education,Education,Female,All,17,22,250000,Student,Monthly assistance for girls from government schools joining higher education.,"Rs 1,000/month for the duration of the course.",https://services.india.gov.in
SCH0038,Kanya Sumangala Yojana,State,Uttar Pradesh,Women & Child Development,Girl Child,Female,All,0,21,300000,All,Multi-stage financial assistance for the girl child from birth to graduation.,"Total Rs 25,000 in 6 installments.",https://services.india.gov.in
SCH0039,UP Vidhwa Pension Yojana,State,Uttar Pradesh,Social Welfare,Pension,Female,All,18,100,200000,Woman-headed household,Pension for widows from economically weaker families.,"Rs 1,000/month pension.",https://services.india.gov.in
SCH0040,Mukhyamantri Yuva Swarozgar Yojana,State,Uttar Pradesh,MSME,Self-Employment,All,All,18,40,-1,Self-employed,Subsidized loans to unemployed youth for setting up enterprises.,Loans up to Rs 25 lakh (services) / Rs 10 lakh (manufacturing) with subsidy.,https://services.india.gov.in
SCH0041,Kanyashree Prakalpa,State,West Bengal,Women & Child Development,Girl Child,Female,All,13,19,120000,Student,Conditional cash transfer to keep girls in school and delay marriage.,"Annual scholarship Rs 1,000 + one-time grant Rs 25,000.",https://services.india.gov.in
SCH0042,Lakshmir Bhandar,State,West Bengal,Women & Child Development,Welfare,Female,All,25,60,100000,Woman-headed household,Monthly financial assistance to women heads of households.,"Rs 1,000-1,200/month direct benefit transfer.",https://services.india.gov.in
SCH0043,Sikshashree Scheme,State,West Bengal,Backward Classes Welfare,Education,All,SC,6,18,250000,Student,Financial assistance for SC students in classes 5-8.,Annual scholarship of Rs 800.,https://services.india.gov.in
SCH0044,Mukhyamantri Chiranjeevi Swasthya Bima Yojana,State,Rajasthan,Health,Health,All,All,0,100,-1,All,Cashless health insurance for all state families.,Health cover up to Rs 25 lakh/family/year.,https://services.india.gov.in
SCH0045,Kalibai Bhil Medhavi Chatra Scooty Yojana,State,Rajasthan,Higher Education,Education,Female,All,16,24,800000,Student,Scooty for meritorious girl students in government colleges.,"Free electric scooty or Rs 30,000 cash equivalent.",https://services.india.gov.in
SCH0046,Mukhyamantri Yuva Sambal Yojana,State,Rajasthan,Skill & Employment,Employment,All,All,18,35,300000,Unemployed,Unemployment allowance for educated unemployed youth.,"Rs 3,000-4,500/month allowance.",https://services.india.gov.in
SCH0047,Mukhyamantri Ladli Behna Yojana,State,Madhya Pradesh,Women & Child Development,Welfare,Female,All,21,60,250000,Woman-headed household,Monthly financial assistance to married women.,"Rs 1,250/month direct benefit transfer.",https://services.india.gov.in
SCH0048,Ladli Laxmi Yojana,State,Madhya Pradesh,Women & Child Development,Girl Child,Female,All,0,21,1200000,All,Long-term savings and education scheme for the girl child.,Total benefit of Rs 1.43 lakh by age 21.,https://services.india.gov.in
SCH0049,Mukhyamantri Medhavi Vidyarthi Yojana,State,Madhya Pradesh,Higher Education,Education,All,All,17,30,600000,Student,Tuition fee reimbursement for meritorious students in professional courses.,Full tuition fee up to Rs 1.5 lakh/year.,https://services.india.gov.in
SCH0050,Mukhyamantri Kanya Utthan Yojana,State,Bihar,Education,Girl Child,Female,All,0,25,300000,Student,Cash incentives for girls from birth through graduation.,"Total up to Rs 54,100 across stages including Rs 50,000 on graduation.",https://services.india.gov.in
SCH0051,Mukhyamantri Vidyarthi Cycle Yojana,State,Bihar,Education,Education,All,All,13,18,250000,Student,Bicycle assistance for students in class 9 to improve school access.,"Rs 3,000 cash assistance to buy a bicycle.",https://services.india.gov.in
SCH0052,Bihar Student Credit Card Scheme,State,Bihar,Education,Education,All,All,17,30,-1,Student,Collateral-free education loan for higher studies.,Loan up to Rs 4 lakh at 4% interest.,https://services.india.gov.in
SCH0053,Mukh Mantri Punjab Maa Diya Dhiyan Satikar Yojana,State,Punjab,Social Justice,Welfare,Female,All,18,100,200000,Woman-headed household,"Monthly financial assistance to eligible women, higher for Dalit women.","Rs 1,000-1,500/month direct benefit transfer.",https://services.india.gov.in
SCH0054,Shagun Scheme,State,Punjab,Social Justice & Empowerment,Welfare,Female,SC,18,45,150000,All,Financial assistance for marriage of daughters of SC/BPL families.,"Rs 51,000 one-time grant.",https://services.india.gov.in
SCH0055,Punjab Ashirwad Scheme,State,Punjab,Social Justice & Empowerment,Girl Child,Female,All,0,21,100000,All,Savings-linked scheme supporting girl children of poor families.,"Fixed deposit maturing to approx Rs 51,000 at age 21.",https://services.india.gov.in
SCH0056,Mukhyamantri Parivar Samman Nidhi,State,Haryana,Social Justice & Empowerment,Welfare,All,All,18,100,180000,All,Income support scheme for families below the income threshold.,Financial assistance topping family income to Rs 1 lakh/year.,https://services.india.gov.in
SCH0057,Dayalu Yojana,State,Haryana,Social Justice & Empowerment,Welfare,All,All,0,100,180000,All,Financial assistance to families on death of the earning member.,One-time grant of Rs 2-5 lakh.,https://services.india.gov.in
SCH0058,Ladli Yojana Haryana,State,Haryana,Women & Child Development,Girl Child,Female,All,0,18,200000,All,Savings scheme for families with girl children.,"Rs 5,000-6,000/year deposited annually.",https://services.india.gov.in
SCH0059,Delhi Mukhyamantri Mahila Samman Yojana,State,Delhi,Women & Child Development,Welfare,Female,All,18,100,300000,Woman-headed household,Monthly financial assistance to adult women residents.,"Rs 1,000-2,100/month direct benefit transfer.",https://services.india.gov.in
SCH0060,Delhi Ladli Scheme,State,Delhi,Women & Child Development,Girl Child,Female,All,0,18,100000,All,Savings-linked scheme for the girl child's education.,Total up to Rs 1 lakh disbursed in stages.,https://services.india.gov.in
SCH0061,Atal Canteen Scheme,State,Delhi,DUSIB,Food Security,All,All,0,100,-1,All,Subsidized meals through government-run canteens.,Meals at highly subsidized rates.,https://services.india.gov.in
SCH0062,Aardram Mission,State,Kerala,Health,Health,All,All,0,100,100000,All,Strengthening public healthcare access and family health centres.,Free OP/IP treatment at upgraded family health centres.,https://services.india.gov.in
SCH0063,Snehapoorvam Scheme,State,Kerala,Social Justice,Welfare,All,All,0,18,100000,All,Financial assistance for orphaned/destitute children.,Rs 300-500/month assistance.,https://services.india.gov.in
SCH0064,Kerala Karunya Health Scheme,State,Kerala,Health,Health,All,All,0,100,300000,All,Financial assistance for treatment of critical illnesses.,Assistance up to Rs 3 lakh for critical treatment.,https://services.india.gov.in
SCH0065,Rythu Bandhu,State,Telangana,Agriculture,Agriculture,All,All,18,100,-1,Farmer,Investment support scheme for farmers per crop season.,"Rs 10,000/acre/year in two installments.",https://services.india.gov.in
SCH0066,KCR Kit Scheme,State,Telangana,Health,Maternity,Female,All,18,45,-1,All,Financial assistance and nutrition kit for pregnant/lactating mothers.,"Rs 12,000-13,000 cash + nutrition kit.",https://services.india.gov.in
SCH0067,Telangana Aasara Pension,State,Telangana,Social Welfare,Pension,All,All,57,100,200000,Senior Citizen,"Social security pension for elderly, disabled, and widows.","Rs 2,016-3,016/month pension.",https://services.india.gov.in
SCH0068,YSR Cheyutha,State,Andhra Pradesh,Women & Child Development,Welfare,Female,SC,45,60,150000,Woman-headed household,Financial assistance to SC/ST/BC/minority women for self-employment.,"Rs 18,750/year for 4 years.",https://services.india.gov.in
SCH0069,Amma Vodi,State,Andhra Pradesh,School Education,Education,Female,All,25,100,100000,Student,Financial assistance to mothers/guardians to send children to school.,"Rs 15,000/year per child.",https://services.india.gov.in
SCH0070,YSR Pension Kanuka,State,Andhra Pradesh,Social Welfare,Pension,All,All,60,100,150000,Senior Citizen,Enhanced social security pension for elderly and vulnerable groups.,"Rs 3,000/month pension.",https://services.india.gov.in
SCH0071,Biju Krushak Kalyan Yojana,State,Odisha,Agriculture,Agriculture,All,All,18,100,100000,Farmer,Health and financial protection scheme for small/marginal farmers.,"Health cover + Rs 2,000/season income support.",https://services.india.gov.in
SCH0072,Madhu Babu Pension Yojana,State,Odisha,Social Security & Empowerment of PWD,Pension,All,All,58,100,100000,Senior Citizen,"Pension for elderly, widows and persons with disabilities.",Rs 500-700/month pension.,https://services.india.gov.in
SCH0073,KALIA Scheme,State,Odisha,Agriculture,Agriculture,All,All,18,100,-1,Farmer,Financial assistance to cultivators and landless agricultural households.,"Rs 10,000/year support for farm families.",https://services.india.gov.in
SCH0074,Sarbat Sehat Bima Yojana,State,Punjab,Health & Family Welfare,Health,All,All,0,100,200000,All,Cashless health insurance for poor and vulnerable families.,Health cover up to Rs 5 lakh/family/year.,https://services.india.gov.in
SCH0075,Orunodoi Scheme,State,Assam,Social Welfare,Welfare,Female,All,18,100,200000,Woman-headed household,"Direct cash transfer to economically weaker households, via women beneficiaries.","Rs 1,250/month direct benefit transfer.",https://services.india.gov.in
SCH0076,Assam Nijut Moina Scholarship,State,Assam,Education,Education,Female,All,13,24,250000,Student,Scholarship for girl students from class 9 to postgraduate level.,"Rs 1,000-2,500/month based on class.",https://services.india.gov.in
SCH0077,Chief Minister's Samagra Gramya Unnayan Yojana,State,Assam,Rural Development,Rural Development,All,All,18,100,150000,Farmer,Comprehensive rural development and livelihood support scheme.,"Grants for agriculture, livestock and micro-enterprise.",https://services.india.gov.in
SCH0078,Chandigarh Ladli Scheme,State,Chandigarh,Social Welfare,Girl Child,Female,All,0,21,150000,All,Savings and incentive scheme for the girl child.,Cash incentives at school milestones up to age 21.,https://services.india.gov.in
SCH0079,Mukhyamantri Sukanya Yojana,State,Jharkhand,Women & Child Development,Girl Child,Female,All,0,18,150000,All,Financial assistance for education of girl children.,"Rs 40,000 disbursed across schooling milestones.",https://services.india.gov.in
SCH0080,Mukhyamantri Rojgar Srijan Yojana,State,Jharkhand,Industries,Self-Employment,All,All,18,45,-1,Self-employed,Subsidized loans for setting up small enterprises.,Subsidy up to 40% of project cost.,https://services.india.gov.in
SCH0081,Abua Awas Yojana,State,Jharkhand,Rural Development,Housing,All,All,18,100,100000,All,State housing scheme for households without pucca homes.,Financial assistance of Rs 2 lakh to build a house.,https://services.india.gov.in
SCH0082,Mahtari Vandan Yojana,State,Chhattisgarh,Women & Child Development,Welfare,Female,All,21,100,250000,Woman-headed household,Monthly financial assistance to married women.,"Rs 1,000/month direct benefit transfer.",https://services.india.gov.in
SCH0083,Godhan Nyay Yojana,State,Chhattisgarh,Rural Development,Agriculture,All,All,18,100,-1,Farmer,Cow dung procurement scheme supporting rural livelihoods.,Rs 2/kg for cow dung purchased from farmers/cattle-rearers.,https://services.india.gov.in
SCH0084,Chhattisgarh Medhavi Chhatra Yojana,State,Chhattisgarh,Higher Education,Education,All,All,17,30,250000,Student,Fee waiver for meritorious economically weak students.,Full tuition fee waiver.,https://services.india.gov.in
SCH0085,Mukhyamantri Ghasyari Kalyan Yojana,State,Uttarakhand,Agriculture,Agriculture,Female,All,18,100,150000,Farmer,Support for women farmers/livestock-rearers to ease fodder collection burden.,"Rs 3,000-4,000/year support.",https://services.india.gov.in
SCH0086,Uttarakhand Nandadevi Kanya Yojana,State,Uttarakhand,Women & Child Development,Girl Child,Female,All,0,18,150000,All,One-time grant on the birth of a girl child in the family.,"Rs 50,000 fixed deposit maturing at age 18.",https://services.india.gov.in
SCH0087,Uttarakhand Vridha Pension Yojana,State,Uttarakhand,Social Welfare,Pension,All,All,60,100,100000,Senior Citizen,Old age pension for economically weaker senior citizens.,"Rs 1,200-1,400/month pension.",https://services.india.gov.in
SCH0088,Mukhyamantri Sukh Ashraya Yojana,State,Himachal Pradesh,Social Justice,Welfare,All,All,0,27,100000,All,Support for orphaned and destitute children until self-sufficiency.,"Full education, health and monthly stipend support.",https://services.india.gov.in
SCH0089,Himachal Pradesh Vidhwa Punarvivah Yojana,State,Himachal Pradesh,Social Justice,Welfare,Female,All,18,100,100000,Woman-headed household,Incentive for remarriage of widows.,"One-time grant of Rs 50,000.",https://services.india.gov.in
SCH0090,Himcare Yojana,State,Himachal Pradesh,Health & Family Welfare,Health,All,All,0,100,300000,All,Health insurance for families not covered under Ayushman Bharat.,Health cover up to Rs 5 lakh/family/year.,https://services.india.gov.in
SCH0091,Ladli Laxmi Yojana Goa,State,Goa,Women & Child Development,Girl Child,Female,All,0,18,800000,All,Financial assistance scheme for the girl child.,Rs 1 lakh maturity bond at age 18.,https://services.india.gov.in
SCH0092,Griha Aadhar Scheme,State,Goa,Women & Child Development,Welfare,Female,All,18,100,300000,Woman-headed household,Financial assistance to housewives to strengthen family finances.,"Rs 1,500/month direct benefit transfer.",https://services.india.gov.in
SCH0093,Deen Dayal Swasthya Seva Yojana,State,Goa,Health,Health,All,All,0,100,400000,All,Cashless health insurance for Goa residents.,Health cover up to Rs 4 lakh/family/year.,https://services.india.gov.in
SCH0094,Chief Minister's Hakshelgi Tengbang,State,Manipur,Health,Health,All,All,0,100,400000,All,Health insurance scheme for state residents.,Health cover up to Rs 2 lakh/family/year.,https://services.india.gov.in
SCH0095,Chief Minister Elite Athletes Scheme,State,Manipur,Youth Affairs & Sports,Education,All,All,14,30,-1,Student,Financial support and training for elite athletes.,Monthly stipend + training support.,https://services.india.gov.in
SCH0096,Chief Minister's Elderly Support Scheme,State,Meghalaya,Social Welfare,Pension,All,All,60,100,100000,Senior Citizen,Monthly pension for elderly citizens.,Rs 300-500/month pension.,https://services.india.gov.in
SCH0097,Meghalaya Livelihoods and Access to Markets,State,Meghalaya,Rural Development,Self-Employment,All,All,18,60,150000,Self-employed,Support for farmer producer groups and rural entrepreneurs.,Grants and market linkage support.,https://services.india.gov.in
SCH0098,Chief Minister Jubak Jubati Karmasangsthan Yojana,State,Tripura,Labour,Employment,All,All,18,40,150000,Unemployed,Self-employment loans for unemployed youth.,Subsidized loan up to Rs 2 lakh.,https://services.india.gov.in
SCH0099,Tripura Swanirbhar Scheme,State,Tripura,Rural Development,Self-Employment,All,All,18,100,150000,Self-employed,Support for self-help groups and rural micro-enterprises.,Revolving fund and skill training support.,https://services.india.gov.in
SCH0100,New Land Use Policy (NLUP),State,Mizoram,Agriculture,Agriculture,All,All,18,100,150000,Farmer,Support to shift from shifting cultivation to sustainable farming.,Financial and input support for approved farm projects.,https://services.india.gov.in
SCH0101,Mizoram Chief Minister Rural Housing Scheme,State,Mizoram,Rural Development,Housing,All,All,18,100,100000,All,Housing assistance for rural poor families.,Financial assistance to build a pucca house.,https://services.india.gov.in
SCH0102,Chief Minister's Health Insurance Scheme,State,Nagaland,Health,Health,All,All,0,100,300000,All,Health insurance cover for state residents.,Health cover up to Rs 5 lakh/family/year.,https://services.india.gov.in
SCH0103,Nagaland Rural Livelihood Mission,State,Nagaland,Rural Development,Self-Employment,All,All,18,100,150000,Self-employed,Self-help-group based livelihood promotion.,Revolving fund + bank linkage support.,https://services.india.gov.in
SCH0104,Sikkim Chief Minister's Comprehensive Annual and Family Health Scheme,State,Sikkim,Health,Health,All,All,0,100,-1,All,Universal health checkup and insurance scheme for all residents.,Free annual health checkup + health insurance.,https://services.india.gov.in
SCH0105,Sikkim Girl Child Protection Scheme,State,Sikkim,Social Justice,Girl Child,Female,All,0,18,200000,All,Savings-linked scheme for the girl child.,Fixed deposit maturing at age 18.,https://services.india.gov.in
SCH0106,Chief Minister's Adarsh Gram Yojana,State,Arunachal Pradesh,Rural Development,Rural Development,All,All,18,100,100000,All,Model village development scheme for infrastructure and livelihood.,Infrastructure grants and livelihood support per village.,https://services.india.gov.in
SCH0107,Arunachal Pradesh Chief Minister's Nyokum Yollo Scholarship,State,Arunachal Pradesh,Education,Education,All,ST,13,24,200000,Student,Scholarship support for tribal students.,Annual scholarship amount for tuition/hostel fees.,https://services.india.gov.in
SCH0108,J&K Reshi Aabadkari Scheme,State,Jammu and Kashmir,Revenue,Housing,All,All,18,100,100000,All,Land/housing assistance to landless and homeless families.,Land allotment/financial assistance for house construction.,https://services.india.gov.in
SCH0109,Sher-e-Kashmir Employment & Welfare Programme for Youth,State,Jammu and Kashmir,Skill Development & Entrepreneurship,Self-Employment,All,All,18,40,-1,Unemployed,Self-employment support scheme for educated unemployed youth.,Subsidized loan + margin money support.,https://services.india.gov.in
SCH0110,Ladakh Chief Executive Councillor's Solar Scheme,State,Ladakh,Rural Development,Welfare,All,All,18,100,150000,All,Solar electrification support for remote households.,Subsidized solar home lighting units.,https://services.india.gov.in
SCH0111,Puducherry Kalvi Ulavan Thittam,State,Puducherry,Agriculture,Agriculture,All,All,18,100,150000,Farmer,Support for farmer welfare and agricultural inputs.,Input subsidy and equipment support.,https://services.india.gov.in
SCH0112,Chandigarh Social Security Pension Scheme,State,Chandigarh,Social Welfare,Pension,All,All,60,100,100000,Senior Citizen,Old age/widow/disability pension for UT residents.,"Rs 1,500-2,000/month pension.",https://services.india.gov.in
SCH0113,A&N Fisherman Welfare Scheme,State,Andaman and Nicobar Islands,Fisheries,Welfare,All,All,18,100,150000,All,Support for fishing community livelihoods.,Boat/gear subsidy and insurance support.,https://services.india.gov.in
SCH0114,DNHDD Beti Hai Anmol Yojana,State,Dadra and Nagar Haveli and Daman and Diu,Women & Child Development,Girl Child,Female,All,0,18,150000,All,Savings scheme for the girl child.,Cash incentives at schooling milestones.,https://services.india.gov.in
SCH0115,Lakshadweep Fisherman Savings-cum-Relief Scheme,State,Lakshadweep,Fisheries,Welfare,All,All,18,60,150000,All,Savings-linked relief scheme for fishermen during lean season.,Matching government contribution to fisherman savings.,https://services.india.gov.in
SCH0116,"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",State,Puducherry,All,"Agriculture,Rural & Environment, Social welfare & Empowerment",All,All,18,60,99999999,All,"The scheme ""Immediate Relief Assistance"" is a Sub-Component under the scheme ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"". The scheme is extended to all the regions of the Union territory of Puducherry. The scheme is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially to run their family.","₹ 1,00,000, in two installments of ₹ 50,000 each, as immediate relief assistance for the family (legal heir) of the missing fisherman. Disbursal Initially, 50% will be extended within 3 months from the date of receipt of the application from the family (legal heir). The family (legal heir) should approach this department for the release of the balance 50% of the relief which will be deposited in the bank in a joint account in the name of kin (legal heir) and the competent authority concerned. If no further information is received about the missing person, the balance amount will be released in favour of the next of kin (legal heir), after the prescribed period of 9 months from the date of release of 1st part of lump sum. *In case of the return of the missing fishermen, the amount extended as compensation either ₹ 50,000 or ₹ 1,00,000 as the case may be, will be recovered by invoking an insurance bond.",Not Available
SCH0117,AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME,Central,All India,Ministry of Micro,Education & Learning,All,All,0,100,99999999,All,"Short Term Training Programme-SFURTI Program, launched by the All India Council for Technical Education (AICTE), aims to provide financial assistance to the institutions for conducting faculty and student trainings to enable faculty members and students in the field of technical education and to introspect and learn techniques that can help prepare faculty and students to impart their research work in the development of small-scale business for the nation. All India Council For Technical...","Financial Assistance : Limit of funding ₹ 4,00,000/- to the institution. Disbursement of the Fund: The full amount of the grant sanctioned shall be released after successful conduct of the program to Indian Micro Enterprises Development Foundation (IMEDF). The amount spent by the institute on the conduct of STTP-SFURTI shall be adjusted on the basis of utilization certificate and detailed expenditure statement submitted by the IMEDF on the prescribed format along with other mandatory documents viz feedback form, copy of proceedings and completion report etc",Not Available
